track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,date,rank,last-week,peak-rank,weeks-on-board
Mine (Taylor's Version),Taylor Swift,36912123,6,0,1.0,2023.0,7.0,7.0,99.0,15.0,21.0,52.0,1.0,121.0,G,Major,65.0,49.0,78.0,0.0,0.0,17.0,4.0,?,,,,
Everybody Wants To Rule The World,Tears For Fears,1205951614,"2,655",666,1.0,1985.0,2.0,17.0,41751.0,25.0,101.0,32.0,0.0,112.0,G,Major,64.0,54.0,81.0,36.0,0.0,11.0,6.0,1985-08-24 00:00:00,99.0,92.0,1.0,24.0
No Role Modelz,J. Cole,1791000570,476,14,1.0,2014.0,12.0,9.0,21164.0,36.0,80.0,65.0,0.0,100.0,A#,Minor,70.0,47.0,52.0,30.0,0.0,6.0,33.0,2016-02-20 00:00:00,47.0,42.0,36.0,25.0
Tattoo,Loreen,201660859,145,925,1.0,2023.0,2.0,25.0,2988.0,59.0,74.0,102.0,18.0,150.0,D#,Minor,55.0,30.0,78.0,24.0,0.0,12.0,8.0,?,,,,
Rara Vez,"Taiu, Milo j",248088961,24,88,2.0,2023.0,2.0,8.0,893.0,38.0,19.0,23.0,3.0,120.0,F,Minor,84.0,96.0,71.0,18.0,0.0,34.0,17.0,?,,,,
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",90839753,47,203,3.0,2023.0,5.0,12.0,1094.0,34.0,40.0,58.0,8.0,127.0,B,Minor,82.0,89.0,85.0,4.0,0.0,23.0,6.0,?,,,,
august,Taylor Swift,607123776,61,44,1.0,2020.0,7.0,24.0,7324.0,22.0,25.0,81.0,1.0,90.0,F,Major,51.0,42.0,61.0,53.0,0.0,9.0,3.0,?,,,,
LUNA,"Junior H, Peso Pluma",55842345,8,74,2.0,2023.0,6.0,22.0,201.0,11.0,19.0,117.0,1.0,128.0,A,Minor,75.0,79.0,63.0,33.0,0.0,15.0,4.0,?,,,,
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",211050784,246,638,2.0,2023.0,3.0,10.0,5120.0,48.0,161.0,115.0,9.0,143.0,A,Major,64.0,31.0,87.0,4.0,4.0,8.0,4.0,?,,,,
Nonsense,Sabrina Carpenter,342897938,38,64,1.0,2022.0,7.0,15.0,2346.0,27.0,69.0,12.0,8.0,139.0,G#,Major,74.0,68.0,68.0,3.0,0.0,26.0,4.0,?,,,,
Que Vuelvas,"Carin Leon, Grupo Frontera",2762,21,71,2.0,2022.0,12.0,9.0,763.0,26.0,21.0,110.0,9.0,162.0,A#,Major,49.0,78.0,64.0,19.0,0.0,11.0,4.0,?,,,,
Por las Noches,Peso Pluma,330346424,4,2,1.0,2021.0,6.0,11.0,457.0,24.0,8.0,116.0,3.0,92.0,,Major,81.0,39.0,60.0,31.0,0.0,7.0,3.0,?,,,,
Feliz Cumpleaï¿½ï¿½os Fe,Feid,601863821,52,3,1.0,2022.0,8.0,19.0,3430.0,38.0,45.0,69.0,4.0,95.0,F,Major,87.0,57.0,55.0,10.0,0.0,29.0,7.0,?,,,,
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",1953533826,"6,551",0,3.0,2011.0,8.0,16.0,6074.0,52.0,201.0,44.0,2.0,146.0,D,Major,63.0,88.0,93.0,3.0,0.0,10.0,8.0,?,,,,
Watermelon Sugar,Harry Styles,2322580122,"1,212",,1.0,2019.0,11.0,17.0,21915.0,34.0,437.0,115.0,12.0,95.0,,Major,55.0,56.0,82.0,12.0,0.0,34.0,5.0,2021-01-16 00:00:00,42.0,47.0,1.0,39.0
lovely - Bonus Track,"Billie Eilish, Khalid",2355719893,"1,078",136,2.0,2017.0,8.0,11.0,15032.0,30.0,221.0,96.0,2.0,115.0,E,Minor,35.0,12.0,30.0,93.0,0.0,10.0,3.0,?,,,,
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",66902503,32,88,2.0,2023.0,6.0,21.0,871.0,32.0,25.0,59.0,5.0,128.0,B,Major,78.0,59.0,65.0,10.0,0.0,26.0,5.0,?,,,,
Queencard,(G)I-DLE,96273746,7,148,1.0,2023.0,5.0,15.0,451.0,33.0,10.0,126.0,0.0,130.0,E,Minor,82.0,69.0,83.0,3.0,0.0,27.0,5.0,?,,,,
OMG,NewJeans,430977451,15,22,1.0,2023.0,1.0,2.0,1783.0,27.0,26.0,124.0,1.0,127.0,A,Minor,80.0,74.0,77.0,36.0,0.0,11.0,4.0,?,,,,
Radio,Lana Del Rey,284819874,282,368,1.0,2011.0,1.0,1.0,9389.0,46.0,24.0,122.0,3.0,150.0,D,Major,42.0,20.0,86.0,21.0,0.0,9.0,9.0,?,,,,
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",721975598,254,22,2.0,2023.0,1.0,11.0,5724.0,44.0,119.0,108.0,29.0,122.0,D,Minor,78.0,50.0,63.0,27.0,0.0,9.0,5.0,?,,,,
505,Arctic Monkeys,1217120710,588,1,1.0,2007.0,4.0,20.0,13985.0,25.0,30.0,80.0,1.0,140.0,,Major,52.0,20.0,85.0,0.0,0.0,7.0,5.0,?,,,,
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",109276132,31,189,4.0,2023.0,6.0,2.0,1051.0,16.0,31.0,37.0,0.0,140.0,,Major,63.0,22.0,54.0,46.0,0.0,12.0,8.0,?,,,,
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",276259178,30,176,3.0,2022.0,12.0,2.0,1682.0,46.0,24.0,90.0,1.0,119.0,C#,Minor,75.0,48.0,53.0,18.0,0.0,18.0,34.0,?,,,,
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",54225632,1,52,5.0,2023.0,5.0,22.0,182.0,8.0,3.0,88.0,0.0,110.0,G,Minor,76.0,96.0,72.0,32.0,0.0,9.0,4.0,?,,,,
Perfect,Ed Sheeran,2559529074,"2,094",0,1.0,2017.0,1.0,1.0,16596.0,13.0,7.0,0.0,0.0,95.0,G#,Major,60.0,17.0,45.0,16.0,0.0,11.0,2.0,2018-10-06 00:00:00,21.0,23.0,1.0,57.0
Romantic Homicide,d4vd,681583126,50,9,1.0,2022.0,7.0,20.0,2335.0,23.0,82.0,55.0,0.0,132.0,F#,Major,56.0,20.0,55.0,45.0,1.0,32.0,3.0,?,,,,
Believer,Imagine Dragons,2594040133,"2,969",31,1.0,2017.0,1.0,31.0,18986.0,23.0,250.0,121.0,10.0,125.0,A#,Minor,77.0,74.0,78.0,4.0,0.0,23.0,11.0,2018-02-10 00:00:00,29.0,28.0,4.0,52.0
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",81102253,26,66,4.0,2023.0,5.0,19.0,283.0,7.0,6.0,9.0,1.0,124.0,D#,Minor,84.0,65.0,50.0,67.0,0.0,13.0,6.0,?,,,,
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",11956641,30,66,2.0,2023.0,6.0,1.0,293.0,8.0,5.0,2.0,2.0,133.0,B,Minor,93.0,68.0,65.0,42.0,0.0,12.0,25.0,?,,,,
Without Me,Eminem,1687664027,"3,889",0,1.0,2002.0,1.0,1.0,21081.0,43.0,98.0,76.0,5.0,112.0,G,Major,92.0,67.0,66.0,0.0,0.0,36.0,9.0,2002-09-21 00:00:00,55.0,47.0,2.0,20.0
QUEMA,"Sog, Ryan Castro, Peso Pluma",11599388,26,208,3.0,2023.0,7.0,13.0,437.0,31.0,17.0,29.0,3.0,97.0,,Major,79.0,92.0,89.0,5.0,0.0,6.0,5.0,?,,,,
Stargirl Interlude,"The Weeknd, Lana Del Rey",611700552,5,1,2.0,2016.0,11.0,24.0,1275.0,32.0,13.0,8.0,0.0,90.0,F,Minor,59.0,52.0,48.0,38.0,5.0,10.0,11.0,?,,,,
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",1133865788,99,28,2.0,2022.0,5.0,6.0,6135.0,38.0,71.0,113.0,13.0,80.0,D#,Minor,65.0,27.0,69.0,8.0,0.0,53.0,4.0,?,,,,
Somewhere Only We Know,Keane,1089402494,"5,239",558,1.0,2004.0,1.0,1.0,20015.0,16.0,107.0,69.0,0.0,172.0,A,Major,45.0,33.0,59.0,6.0,0.0,8.0,3.0,2005-04-30 00:00:00,98.0,89.0,50.0,12.0
Those Eyes,New West,411747614,44,195,1.0,2019.0,5.0,10.0,1507.0,14.0,24.0,71.0,1.0,120.0,E,Major,60.0,24.0,35.0,73.0,0.0,31.0,3.0,?,,,,
El Gordo Trae El Mando,Chino Pacas,255932395,4,13,1.0,2023.0,1.0,27.0,539.0,21.0,7.0,71.0,2.0,140.0,G,Minor,74.0,96.0,80.0,18.0,0.0,5.0,5.0,?,,,,
Mi Bello Angel,Natanael Cano,31873544,3,93,1.0,2023.0,6.0,30.0,86.0,8.0,7.0,76.0,1.0,128.0,A,Minor,81.0,90.0,77.0,1.0,0.0,9.0,5.0,?,,,,
Bye,Peso Pluma,95053634,8,60,1.0,2023.0,5.0,26.0,324.0,14.0,13.0,110.0,2.0,122.0,,Major,78.0,70.0,81.0,57.0,0.0,10.0,5.0,?,,,,
Danza Kuduro,"Don Omar, Lucenzo",1279434863,974,503,2.0,2010.0,1.0,1.0,17138.0,37.0,119.0,81.0,1.0,130.0,,Major,47.0,86.0,92.0,8.0,0.0,5.0,24.0,?,,,,
Nosso Quadro,"Ana Castela, AgroPlay",233801632,66,72,2.0,2023.0,2.0,2.0,894.0,9.0,14.0,88.0,3.0,160.0,A,Major,69.0,61.0,71.0,33.0,0.0,31.0,20.0,?,,,,
Locked Out Of Heaven,Bruno Mars,1481349984,356,0,1.0,2012.0,12.0,5.0,1622.0,9.0,0.0,0.0,0.0,144.0,F,Major,73.0,87.0,70.0,6.0,0.0,28.0,5.0,2013-06-22 00:00:00,49.0,46.0,1.0,36.0
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",142095275,12,56,3.0,2023.0,4.0,4.0,561.0,14.0,4.0,14.0,5.0,192.0,B,Major,50.0,85.0,52.0,11.0,0.0,28.0,6.0,?,,,,
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",618885532,58,34,2.0,2022.0,6.0,17.0,5871.0,27.0,81.0,121.0,1.0,163.0,,Major,54.0,40.0,67.0,0.0,0.0,9.0,17.0,?,,,,
Counting Stars,OneRepublic,2011464183,"3,394",153,1.0,2013.0,1.0,1.0,29215.0,43.0,179.0,97.0,11.0,122.0,C#,Minor,66.0,48.0,71.0,6.0,0.0,12.0,4.0,2014-10-18 00:00:00,50.0,47.0,2.0,68.0
Ghost,Justin Bieber,1167330737,95,,1.0,2021.0,3.0,19.0,5866.0,24.0,107.0,38.0,0.0,154.0,D,Major,61.0,41.0,74.0,21.0,0.0,40.0,6.0,2021-11-06 00:00:00,37.0,38.0,32.0,5.0
Under The Influence,Chris Brown,929964809,3,,1.0,2019.0,10.0,4.0,3859.0,26.0,133.0,181.0,0.0,117.0,A,Minor,73.0,31.0,69.0,6.0,0.0,11.0,4.0,?,,,,
PRC,"Natanael Cano, Peso Pluma",436027885,10,15,2.0,2023.0,1.0,23.0,961.0,26.0,19.0,143.0,6.0,138.0,G,Minor,78.0,89.0,83.0,10.0,0.0,12.0,5.0,?,,,,
Gasolina,Daddy Yankee,657723613,453,454,1.0,2004.0,7.0,13.0,6457.0,18.0,98.0,95.0,0.0,96.0,,Major,86.0,74.0,80.0,33.0,0.0,8.0,6.0,2005-03-26 00:00:00,63.0,75.0,32.0,20.0
One Dance,"Drake, WizKid, Kyla",2713922350,"3,631",26,3.0,2016.0,4.0,4.0,43257.0,24.0,433.0,107.0,0.0,104.0,C#,Major,77.0,36.0,63.0,1.0,0.0,36.0,5.0,?,,,,
Enchanted,Taylor Swift,621660989,113,40,1.0,2010.0,1.0,1.0,4564.0,16.0,24.0,101.0,0.0,164.0,G#,Major,45.0,24.0,62.0,8.0,0.0,16.0,3.0,2010-11-13 00:00:00,75.0,,75.0,1.0
Save Your Tears,The Weeknd,1591223784,112,200,1.0,2020.0,3.0,20.0,12688.0,13.0,197.0,115.0,0.0,118.0,,Major,68.0,61.0,82.0,2.0,0.0,50.0,3.0,2021-05-01 00:00:00,6.0,5.0,4.0,19.0
Sure Thing,Miguel,950906471,435,285,1.0,2010.0,5.0,25.0,13801.0,19.0,137.0,125.0,6.0,81.0,B,Minor,68.0,51.0,60.0,3.0,0.0,19.0,10.0,2011-08-27 00:00:00,49.0,45.0,36.0,23.0
Every Breath You Take - Remastered 2003,The Police,1593270737,929,129,1.0,1983.0,1.0,6.0,22439.0,19.0,211.0,74.0,0.0,117.0,C#,Major,82.0,73.0,45.0,54.0,0.0,7.0,3.0,?,,,,
The Night We Met,Lord Huron,1410088830,939,162,1.0,2015.0,2.0,2.0,18515.0,35.0,70.0,82.0,1.0,174.0,D,Major,45.0,10.0,37.0,97.0,25.0,64.0,4.0,2017-05-27 00:00:00,91.0,86.0,84.0,4.0
We Found Love,"Rihanna, Calvin Harris",1235005533,"4,607",58,2.0,2011.0,1.0,1.0,36843.0,21.0,321.0,91.0,1.0,128.0,C#,Major,73.0,60.0,77.0,3.0,0.0,11.0,4.0,?,,,,
When I Was Your Man,Bruno Mars,1661187319,806,0,1.0,2012.0,12.0,5.0,2420.0,11.0,0.0,0.0,0.0,145.0,,Major,60.0,43.0,27.0,94.0,0.0,14.0,4.0,2013-08-31 00:00:00,49.0,39.0,1.0,35.0
Let Me Down Slowly,Alec Benjamin,1374581173,885,0,1.0,2018.0,5.0,25.0,5897.0,19.0,0.0,0.0,0.0,150.0,C#,Minor,65.0,51.0,55.0,73.0,0.0,14.0,3.0,?,,,,
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",94186466,28,44,3.0,2023.0,6.0,2.0,727.0,16.0,17.0,60.0,1.0,90.0,A,Minor,60.0,13.0,53.0,4.0,0.0,21.0,4.0,?,,,,
Do I Wanna Know?,Arctic Monkeys,1788326445,"2,733",26,1.0,2013.0,1.0,1.0,33783.0,26.0,133.0,92.0,1.0,85.0,F,Major,55.0,42.0,53.0,17.0,0.0,22.0,3.0,2014-05-03 00:00:00,75.0,77.0,70.0,20.0
Demons,Imagine Dragons,1840364617,"3,425",13,1.0,2012.0,1.0,1.0,26694.0,13.0,65.0,82.0,4.0,180.0,D#,Major,33.0,38.0,71.0,20.0,0.0,28.0,5.0,2014-07-05 00:00:00,47.0,45.0,6.0,61.0
ýýýýýýýýýýýý,YOASOBI,143573775,8,117,1.0,2023.0,4.0,12.0,356.0,16.0,35.0,102.0,1.0,166.0,C#,Major,57.0,84.0,94.0,11.0,0.0,37.0,9.0,?,,,,
Reminder,The Weeknd,684675814,238,47,1.0,2016.0,11.0,25.0,6518.0,17.0,45.0,85.0,1.0,160.0,G#,Major,71.0,40.0,50.0,16.0,0.0,16.0,22.0,2017-09-23 00:00:00,99.0,,31.0,17.0
Shake It Off,Taylor Swift,1113838873,"1,378",20,1.0,2014.0,1.0,1.0,21335.0,13.0,328.0,70.0,9.0,160.0,G,Major,65.0,95.0,80.0,5.0,0.0,41.0,16.0,2015-08-15 00:00:00,50.0,47.0,1.0,50.0
Why'd You Only Call Me When You're High?,Arctic Monkeys,1267333350,"1,089",1,1.0,2013.0,1.0,1.0,23389.0,29.0,54.0,70.0,2.0,92.0,D,Major,70.0,81.0,63.0,4.0,0.0,8.0,4.0,?,,,,
SNAP,Rosa Linn,726307468,226,0,1.0,2022.0,3.0,19.0,3202.0,18.0,148.0,80.0,24.0,170.0,,Major,56.0,53.0,64.0,11.0,0.0,45.0,6.0,?,,,,
Shape of You,Ed Sheeran,3562543890,"6,808",0,1.0,2017.0,1.0,6.0,32181.0,10.0,33.0,0.0,7.0,96.0,C#,Minor,83.0,93.0,65.0,58.0,0.0,9.0,8.0,?,,,,
Night Changes,One Direction,1131090940,2,,1.0,2014.0,11.0,17.0,7124.0,18.0,60.0,20.0,0.0,120.0,G#,Major,67.0,40.0,52.0,86.0,0.0,12.0,4.0,2015-04-18 00:00:00,50.0,43.0,31.0,20.0
Fin de Semana,"Oscar Maydon, Junior H",307370144,6,30,2.0,2023.0,1.0,13.0,592.0,14.0,11.0,84.0,1.0,98.0,,Major,70.0,37.0,54.0,6.0,0.0,9.0,8.0,?,,,,
Creep,Radiohead,1271293243,"6,807",80,1.0,1992.0,9.0,21.0,36724.0,7.0,146.0,72.0,5.0,92.0,G,Major,53.0,12.0,34.0,1.0,0.0,12.0,4.0,1993-11-06 00:00:00,94.0,86.0,34.0,20.0
Car's Outside,James Arthur,265882712,61,263,1.0,2019.0,10.0,18.0,794.0,10.0,38.0,25.0,0.0,150.0,A,Major,34.0,24.0,56.0,4.0,0.0,11.0,3.0,?,,,,
Apocalypse,Cigarettes After Sex,841749534,790,116,1.0,2017.0,3.0,21.0,13091.0,17.0,61.0,96.0,2.0,94.0,F,Major,37.0,17.0,47.0,2.0,46.0,11.0,3.0,?,,,,
Cheques,Shubh,47956378,0,57,1.0,2023.0,5.0,19.0,67.0,8.0,7.0,10.0,0.0,90.0,E,Minor,74.0,36.0,63.0,26.0,0.0,27.0,5.0,?,,,,
Pink + White,Frank Ocean,806397070,266,39,1.0,2016.0,8.0,20.0,21574.0,30.0,112.0,68.0,1.0,160.0,A,Major,54.0,54.0,55.0,67.0,0.0,42.0,11.0,2016-09-10 00:00:00,84.0,,84.0,1.0
Circles,Post Malone,2132335812,633,37,1.0,2019.0,8.0,30.0,19664.0,16.0,391.0,73.0,3.0,120.0,,Major,70.0,59.0,75.0,24.0,0.0,9.0,4.0,2020-11-07 00:00:00,18.0,19.0,1.0,61.0
Just The Way You Are,Bruno Mars,1641426668,"2,946",0,1.0,2010.0,1.0,1.0,21106.0,13.0,82.0,0.0,0.0,109.0,F,Major,63.0,46.0,85.0,1.0,0.0,9.0,5.0,2011-07-02 00:00:00,48.0,44.0,1.0,48.0
Take Me To Church,Hozier,2135158446,"4,623",0,1.0,2013.0,9.0,13.0,23804.0,31.0,187.0,99.0,1.0,129.0,E,Minor,57.0,41.0,66.0,63.0,0.0,12.0,5.0,2015-06-06 00:00:00,48.0,39.0,2.0,41.0
Bebe Dame,"Fuerza Regida, Grupo Frontera",367316268,21,111,2.0,2022.0,12.0,16.0,849.0,22.0,27.0,129.0,7.0,157.0,G,Major,54.0,75.0,60.0,30.0,0.0,7.0,5.0,?,,,,
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,350381515,1,7,1.0,2021.0,4.0,9.0,2619.0,12.0,47.0,90.0,0.0,130.0,F#,Major,63.0,49.0,73.0,5.0,0.0,9.0,3.0,?,,,,
Titi Me Preguntï¿,Bad Bunny,1264310836,139,166,1.0,2022.0,5.0,6.0,9037.0,42.0,124.0,133.0,14.0,107.0,F,Minor,65.0,19.0,72.0,10.0,0.0,13.0,25.0,?,,,,
Better Than Revenge (Taylor's Version),Taylor Swift,30343206,3,1,1.0,2023.0,7.0,7.0,86.0,11.0,3.0,33.0,0.0,146.0,B,Minor,50.0,67.0,89.0,0.0,0.0,19.0,8.0,?,,,,
Shut up My Moms Calling,Hotel Ugly,405136812,19,19,1.0,2020.0,2.0,10.0,1788.0,14.0,1.0,50.0,0.0,139.0,A,Minor,48.0,37.0,41.0,32.0,0.0,10.0,10.0,?,,,,
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1145727611,653,167,1.0,1968.0,7.0,1.0,15890.0,14.0,71.0,37.0,0.0,116.0,,Major,74.0,76.0,70.0,7.0,0.0,13.0,3.0,?,,,,
Es un Secreto,Plan B,540654286,19,0,1.0,2010.0,7.0,20.0,492.0,36.0,4.0,3.0,0.0,95.0,F#,Minor,84.0,52.0,77.0,12.0,0.0,7.0,4.0,?,,,,
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",57312735,21,99,4.0,2023.0,6.0,8.0,773.0,33.0,20.0,46.0,8.0,170.0,G#,Minor,62.0,55.0,80.0,15.0,0.0,37.0,7.0,?,,,,
Ditto,NewJeans,397582059,11,51,1.0,2022.0,12.0,19.0,1154.0,22.0,28.0,125.0,1.0,134.0,F#,Minor,81.0,18.0,64.0,3.0,0.0,10.0,11.0,?,,,,
Take On Me,a-ha,1479115056,"5,108",0,1.0,1984.0,10.0,19.0,44927.0,17.0,34.0,0.0,6.0,84.0,F#,Minor,57.0,86.0,90.0,2.0,0.0,9.0,5.0,1986-01-11 00:00:00,99.0,97.0,1.0,27.0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",86773632,20,10,4.0,2023.0,6.0,2.0,551.0,4.0,13.0,46.0,1.0,146.0,B,Minor,61.0,20.0,48.0,21.0,0.0,12.0,6.0,?,,,,
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",133753727,15,0,5.0,2023.0,5.0,1.0,577.0,14.0,22.0,18.0,1.0,74.0,A#,Minor,53.0,24.0,67.0,11.0,0.0,10.0,28.0,?,,,,
Acrï¿½ï¿½s,Shakira,123124076,79,31,1.0,2023.0,5.0,11.0,955.0,29.0,37.0,50.0,11.0,144.0,B,Major,75.0,35.0,48.0,84.0,0.0,10.0,12.0,?,,,,
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",463564958,9,3,3.0,2022.0,11.0,24.0,995.0,19.0,12.0,117.0,5.0,136.0,B,Minor,77.0,79.0,73.0,15.0,0.0,27.0,10.0,?,,,,
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",64533040,1,31,3.0,2023.0,5.0,15.0,178.0,6.0,6.0,71.0,0.0,100.0,E,Major,56.0,53.0,55.0,53.0,0.0,12.0,4.0,?,,,,
S-Class,Stray Kids,65496046,5,73,1.0,2023.0,6.0,2.0,290.0,19.0,9.0,101.0,0.0,105.0,F,Minor,89.0,67.0,78.0,9.0,0.0,7.0,33.0,?,,,,
Hits Different,Taylor Swift,68616963,6,0,1.0,2023.0,5.0,26.0,547.0,0.0,15.0,15.0,0.0,106.0,F,Major,67.0,24.0,78.0,15.0,0.0,30.0,4.0,?,,,,
Chanel,"Becky G, Peso Pluma",161460990,21,26,2.0,2023.0,3.0,30.0,681.0,10.0,15.0,92.0,2.0,132.0,D,Major,85.0,53.0,68.0,40.0,0.0,9.0,4.0,?,,,,
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",70106975,5,19,2.0,2023.0,6.0,2.0,332.0,5.0,18.0,41.0,0.0,120.0,A,Major,78.0,5.0,30.0,21.0,0.0,13.0,5.0,?,,,,
Area Codes,"Kaliii, Kaliii",113509496,25,171,2.0,2023.0,3.0,17.0,1197.0,13.0,44.0,34.0,1.0,155.0,C#,Major,82.0,51.0,39.0,2.0,0.0,9.0,49.0,?,,,,
Abcdario,"Junior H, Eden Muï¿½ï",89933133,4,109,2.0,2023.0,5.0,13.0,262.0,5.0,8.0,60.0,1.0,129.0,G#,Major,70.0,42.0,43.0,78.0,0.0,11.0,3.0,?,,,,
Obsessed,"Abhijay Sharma, Riar Saab",71007139,2,42,2.0,2022.0,9.0,29.0,161.0,6.0,10.0,79.0,0.0,135.0,F,Minor,80.0,85.0,74.0,62.0,0.0,8.0,9.0,?,,,,
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",43522589,4,33,2.0,2023.0,6.0,2.0,185.0,3.0,5.0,6.0,1.0,98.0,A#,Minor,73.0,45.0,62.0,28.0,0.0,13.0,13.0,?,,,,
FLOWER,JISOO,232896922,20,69,1.0,2023.0,3.0,31.0,839.0,18.0,20.0,110.0,0.0,124.0,A,Minor,84.0,64.0,39.0,3.0,0.0,11.0,4.0,?,,,,
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",37126685,5,0,3.0,2023.0,6.0,2.0,259.0,0.0,5.0,17.0,0.0,135.0,A,Minor,77.0,28.0,55.0,18.0,0.0,22.0,15.0,?,,,,
Eyes Closed,Ed Sheeran,195576623,107,675,1.0,2023.0,3.0,23.0,2915.0,30.0,116.0,69.0,3.0,107.0,D,Major,78.0,39.0,53.0,30.0,0.0,11.0,6.0,?,,,,
Escapism.,"RAYE, 070 Shake",532336353,114,348,2.0,2022.0,10.0,12.0,5129.0,25.0,116.0,84.0,18.0,96.0,D,Major,54.0,25.0,74.0,14.0,0.0,9.0,11.0,?,,,,
La Jumpa,"Arcangel, Bad Bunny",538115192,53,8,2.0,2022.0,11.0,30.0,3794.0,34.0,47.0,77.0,10.0,123.0,G#,Major,71.0,58.0,70.0,30.0,0.0,32.0,19.0,?,,,,
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",46142772,31,0,2.0,2023.0,5.0,26.0,588.0,0.0,23.0,21.0,0.0,90.0,G#,Major,62.0,7.0,62.0,6.0,0.0,58.0,6.0,?,,,,
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",401036314,38,36,3.0,2022.0,12.0,2.0,2959.0,16.0,41.0,69.0,0.0,117.0,F,Minor,72.0,45.0,59.0,14.0,0.0,20.0,21.0,?,,,,
Las Morras,"BLESSD, Peso Pluma",127026613,4,1,2.0,2023.0,4.0,4.0,291.0,8.0,8.0,78.0,1.0,133.0,A,Minor,78.0,90.0,84.0,31.0,0.0,7.0,4.0,?,,,,
CHORRITO PA LAS ANIMAS,Feid,345031710,34,3,1.0,2022.0,12.0,2.0,2321.0,36.0,29.0,65.0,5.0,96.0,G#,Minor,74.0,61.0,83.0,11.0,0.0,35.0,6.0,?,,,,
Ch y la Pizza,"Fuerza Regida, Natanael Cano",288101651,8,14,2.0,2022.0,12.0,1.0,536.0,10.0,10.0,72.0,3.0,149.0,G#,Major,66.0,85.0,60.0,40.0,0.0,14.0,13.0,?,,,,
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",60350538,9,0,2.0,2023.0,5.0,26.0,359.0,2.0,1.0,0.0,0.0,110.0,F#,Minor,66.0,32.0,40.0,81.0,0.0,11.0,3.0,?,,,,
Players,Coi Leray,335074782,143,240,1.0,2022.0,11.0,30.0,4096.0,6.0,118.0,48.0,0.0,105.0,F#,Major,95.0,62.0,52.0,3.0,0.0,5.0,16.0,?,,,,
Bite Me,ENHYPEN,76767396,5,56,1.0,2023.0,5.0,22.0,349.0,69.0,8.0,96.0,0.0,105.0,C#,Major,80.0,69.0,78.0,28.0,0.0,11.0,14.0,?,,,,
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",46065667,6,113,2.0,2023.0,5.0,26.0,381.0,5.0,23.0,82.0,0.0,134.0,B,Major,76.0,61.0,58.0,6.0,0.0,16.0,3.0,?,,,,
Normal,Feid,459276435,45,6,1.0,2022.0,7.0,8.0,2461.0,36.0,47.0,66.0,5.0,170.0,E,Minor,71.0,59.0,56.0,4.0,0.0,27.0,12.0,?,,,,
