track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,date,rank,last-week,peak-rank,weeks-on-board
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",899183384,318,96,2.0,2022.0,3.0,25.0,7112.0,77.0,202.0,119.0,38.0,107.0,B,Major,80.0,82.0,80.0,43.0,0.0,14.0,4.0,?,,,,
MOJABI GHOST,"Tainy, Bad Bunny",61245289,41,211,2.0,2023.0,6.0,29.0,859.0,40.0,35.0,109.0,14.0,122.0,F#,Minor,81.0,74.0,71.0,14.0,0.0,56.0,4.0,?,,,,
Last Night,Morgan Wallen,429829812,15,325,1.0,2023.0,1.0,31.0,2420.0,19.0,52.0,107.0,1.0,204.0,F#,Major,52.0,52.0,68.0,46.0,0.0,15.0,4.0,?,,,,
Dance The Night (From Barbie The Album),Dua Lipa,127408954,143,0,1.0,2023.0,5.0,25.0,2988.0,101.0,0.0,0.0,38.0,110.0,B,Minor,67.0,78.0,85.0,2.0,0.0,33.0,5.0,?,,,,
Rush,Troye Sivan,22581161,50,294,1.0,2023.0,7.0,13.0,864.0,78.0,71.0,135.0,1.0,126.0,F,Minor,74.0,35.0,84.0,0.0,0.0,11.0,6.0,?,,,,
TULUM,"Peso Pluma, Grupo Frontera",52294266,13,197,2.0,2023.0,6.0,28.0,266.0,34.0,20.0,185.0,8.0,168.0,F#,Major,56.0,63.0,87.0,39.0,0.0,11.0,5.0,?,,,,
Creepin',"The Weeknd, 21 Savage, Metro Boomin",843957510,245,27,3.0,2022.0,12.0,2.0,6036.0,88.0,113.0,149.0,23.0,98.0,C#,Minor,71.0,17.0,61.0,36.0,0.0,8.0,5.0,?,,,,
Anti-Hero,Taylor Swift,999748277,165,310,1.0,2022.0,10.0,21.0,9082.0,56.0,242.0,142.0,9.0,97.0,E,Major,64.0,51.0,63.0,12.0,0.0,19.0,5.0,?,,,,
TQG,"Karol G, Shakira",618990393,184,354,2.0,2023.0,2.0,23.0,4284.0,49.0,115.0,123.0,18.0,180.0,E,Minor,72.0,61.0,63.0,67.0,0.0,9.0,28.0,?,,,,
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",123122413,34,184,8.0,2023.0,6.0,1.0,1150.0,31.0,22.0,33.0,7.0,120.0,,Major,81.0,63.0,68.0,11.0,0.0,11.0,4.0,?,,,,
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",188933502,24,212,2.0,2023.0,4.0,7.0,672.0,34.0,19.0,108.0,9.0,150.0,F#,Major,61.0,39.0,73.0,37.0,0.0,11.0,3.0,?,,,,
Blank Space,Taylor Swift,1355959075,410,81,1.0,2014.0,1.0,1.0,11434.0,53.0,154.0,123.0,2.0,96.0,F,Major,75.0,57.0,68.0,9.0,0.0,13.0,6.0,2015-07-18 00:00:00,50.0,45.0,1.0,36.0
Style,Taylor Swift,786181836,151,82,1.0,2014.0,1.0,1.0,7830.0,42.0,94.0,111.0,4.0,95.0,D,Major,60.0,48.0,79.0,0.0,0.0,12.0,4.0,2015-08-01 00:00:00,48.0,48.0,6.0,32.0
TQM,Fuerza Regida,176553476,15,100,1.0,2023.0,5.0,19.0,584.0,28.0,16.0,159.0,6.0,125.0,F,Minor,79.0,96.0,85.0,27.0,0.0,11.0,6.0,?,,,,
